Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)
U+2014	—	\--	Em Dash
U+2016	‖	\norm, \|	Double Vertical Line
U+2022	•	\textbullet	Bullet
U+2030	‰	\%%, \permille	Per Mille Sign
U+2031	‱	\%%%, \permyriad	Per Ten Thousand Sign
U+2032	′	\’	Prime
U+2033	″	\’’	Double Prime
U+2034	‴	\’’’	Triple Prime
U+2035	‵	\`	Reversed Prime
U+2036	‶	\``	Reversed Double Prime
U+2037	‷	\```	Reversed Triple Prime
U+203C	‼	\!!	Double Exclamation Mark
U+2044	⁄	\/, \over	Fraction Slash
U+2047	⁇	\??	Double Question Mark
U+2048	⁈	\?!	Question Exclamation Mark
U+2049	⁉	\!?	Exclamation Question Mark
U+204E	⁎	\_*	Low Asterisk
U+2057	⁗	\’’’’	Quadruple Prime
